=============================================================================================================================================================================================================================================


                               SatNet Scheduler Software                                   

Time: Thu Aug 25 01:53:01 2022
=============================================================================================================================================================================================================================================
                                        Network Setting                                    
Constellation: Self-Defined Satellite Network
Satellite: 120
Plane: 12
Altitude: 880.0
Orbit Inclination: 86.0
=============================================================================================================================================================================================================================================
                                       Parameter Setting                                   
Alpha: 0.7
File: 1000
File Size: [100kb, 1Mb] 
Request: 100000
Duration: 3600
Satellite Storage Space: 100Mb 
Algorithm: Linear
=============================================================================================================================================================================================================================================
                                      Experiment Results                                   
Algorithm Running Time: 1.016557216644287s
Total Scheduling Time: 1.4925125323452562s
=============================================================================================================================================================================================================================================
                                        Content Info                                       
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File Size Of 3 Files In This Experiment: 
717.047169380322   834.6973854142433   870.0908882592851   
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                        File Info                                       
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SatID           FileName        PopRank         Size            ReqProb         ReqTimes        Action          
94              test2.txt       201             834.70          0.001030        103.03          1               
94              test3.txt       296             870.09          0.000786        78.58           1               
95              test1.txt       798             717.05          0.000392        39.25           1               
95              test2.txt       696             834.70          0.000432        43.19           1               
95              test3.txt       583             870.09          0.000489        48.89           1               
96              test1.txt       362             717.05          0.000682        68.25           1               
96              test2.txt       522             834.70          0.000528        52.82           1               
96              test3.txt       334             870.09          0.000722        72.21           1               
97              test1.txt       479             717.05          0.000561        56.10           1               
97              test2.txt       967             834.70          0.000343        34.31           1               
97              test3.txt       855             870.09          0.000374        37.40           1               
98              test1.txt       880             717.05          0.000366        36.65           1               
98              test2.txt       143             834.70          0.001308        130.75          1               
98              test3.txt       122             870.09          0.001461        146.13          1               
99              test1.txt       745             717.05          0.000412        41.18           1               
99              test2.txt       180             834.70          0.001113        111.30          1               
99              test3.txt       525             870.09          0.000526        52.61           1               
100             test1.txt       834             717.05          0.000381        38.05           1               
100             test2.txt       920             834.70          0.000355        35.53           1               
100             test3.txt       54              870.09          0.002585        258.53          1               
101             test1.txt       788             717.05          0.000396        39.59           1               
101             test2.txt       202             834.70          0.001027        102.67          1               
101             test3.txt       105             870.09          0.001623        162.32          1               
102             test1.txt       127             717.05          0.001421        142.08          1               
102             test2.txt       582             834.70          0.000489        48.95           1               
102             test3.txt       666             870.09          0.000445        44.54           1               
103             test1.txt       280             717.05          0.000817        81.69           1               
103             test2.txt       572             834.70          0.000495        49.55           1               
103             test3.txt       45              870.09          0.002937        293.73          1               
104             test1.txt       892             717.05          0.000363        36.30           1               
104             test2.txt       63              834.70          0.002321        232.09          1               
104             test3.txt       168             870.09          0.001168        116.81          1               
105             test1.txt       16              717.05          0.006058        605.77          1               
105             test2.txt       963             834.70          0.000344        34.41           1               
105             test3.txt       455             870.09          0.000582        58.15           1               
106             test1.txt       809             717.05          0.000389        38.87           1               
106             test2.txt       560             834.70          0.000503        50.29           1               
106             test3.txt       891             870.09          0.000363        36.33           1               
107             test1.txt       330             717.05          0.000728        72.82           1               
107             test2.txt       322             834.70          0.000741        74.08           1               
107             test3.txt       751             870.09          0.000409        40.95           1               
108             test1.txt       22              717.05          0.004847        484.73          1               
108             test2.txt       893             834.70          0.000363        36.27           1               
108             test3.txt       770             870.09          0.000402        40.24           1               
109             test1.txt       245             717.05          0.000897        89.70           1               
109             test2.txt       543             834.70          0.000514        51.38           1               
109             test3.txt       566             870.09          0.000499        49.91           1               
110             test1.txt       386             717.05          0.000653        65.25           1               
110             test2.txt       112             834.70          0.001551        155.15          1               
110             test3.txt       252             870.09          0.000879        87.95           1               
111             test1.txt       454             717.05          0.000582        58.24           1               
111             test2.txt       363             834.70          0.000681        68.12           1               
111             test3.txt       149             870.09          0.001270        127.05          1               
112             test1.txt       650             717.05          0.000453        45.31           1               
112             test2.txt       698             834.70          0.000431        43.10           1               
112             test3.txt       999             870.09          0.000335        33.53           1               
113             test1.txt       514             717.05          0.000534        53.40           1               
113             test2.txt       425             834.70          0.000610        61.00           1               
113             test3.txt       347             870.09          0.000703        70.30           1               
114             test1.txt       469             717.05          0.000569        56.93           1               
114             test2.txt       390             834.70          0.000648        64.78           1               
114             test3.txt       717             870.09          0.000423        42.30           1               
115             test1.txt       582             717.05          0.000489        48.95           1               
115             test2.txt       641             834.70          0.000458        45.75           1               
115             test3.txt       174             870.09          0.001140        113.97          1               
116             test1.txt       964             717.05          0.000344        34.38           1               
116             test2.txt       255             834.70          0.000872        87.22           1               
116             test3.txt       601             870.09          0.000479        47.86           1               
117             test1.txt       977             717.05          0.000341        34.06           1               
117             test2.txt       680             834.70          0.000439        43.90           1               
117             test3.txt       199             870.09          0.001038        103.75          1               
118             test1.txt       955             717.05          0.000346        34.61           1               
118             test2.txt       354             834.70          0.000693        69.33           1               
118             test3.txt       351             870.09          0.000697        69.74           1               
119             test1.txt       779             717.05          0.000399        39.91           1               
119             test2.txt       201             834.70          0.001030        103.03          1               
119             test3.txt       934             870.09          0.000352        35.15           1               
